tanggal_uji,nomor_kendaraan,merek,bahan_bakar,tipe,tahun_pembuatan,alat_uji,ket
2020-01-31,B1744PJP,HYUNDAI,Bensin,MPV/ MINI BUS,2019,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B1935PZQ,TOYOTA,Bensin,MPV/ MINI BUS,2013,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B1140PZR,TOYOTA,Bensin,MPV/ MINI BUS,2013,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B1715PJP,HYUNDAI,Bensin,MPV/ MINI BUS,2019,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B9115PDB,HINO,Solar,LAINNYA,2012,NEOMOTECH / CG 450 / 4N11D017,Lulus
2020-01-31,B1472KRY,TOYOTA,Bensin,MPV/ MINI BUS,2015,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B1922FT,TOYOTA,Solar,JEEP,2018,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B9116PDB,HINO,Solar,TRUCK,2011,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B2419TFQ,TOYOTA,Bensin,MPV/ MINI BUS,2016,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,A8109R,ISUZU,Solar,TRUCK,2017,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B9876PDB,HINO,Solar,TRUCK,2013,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B9194PAG,TOYOTA,Solar,PICK UP,2014,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B1679POM,TOYOTA,Bensin,MPV/ MINI BUS,2012,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B9696OE,NISSAN,Solar,LAINNYA,1994,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B9503BV,NISSAN,Solar,LAINNYA,1995,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,G2507,TOYOTA,Bensin,LAINNYA,2011,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,G2503,TOYOTA,Bensin,LAINNYA,2011,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,G2504,TOYOTA,Bensin,LAINNYA,2011,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,G2508,TOYOTA,Bensin,LAINNYA,2011,Brain Bee / AGS-688 / 081008000032,Lulus
2020-01-31,G2506,TOYOTA,Bensin,LAINNYA,2011,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B1588URI,TOYOTA,Bensin,MPV/ MINI BUS,2014,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B9441UAN,TOYOTA,Bensin,WAGON,2016,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B2980UFU,TOYOTA,Bensin,MPV/ MINI BUS,2018,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B2234UKO,TOYOTA,Bensin,MPV/ MINI BUS,2015,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B2597UKV,TOYOTA,Bensin,MPV/ MINI BUS,2019,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,KRW1TG1005,TOYOTA,Bensin,LAINNYA,2004,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,KRW1FG2504,TOYOTA,Bensin,LAINNYA,2013,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,KRW1FG2505,TOYOTA,Bensin,LAINNYA,2014,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,KRW1FG2508,TOYOTA,Bensin,LAINNYA,2015,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B9903UAA,MITSUBISHI,Solar,BOX,2010,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,KRW1FG2509,TOYOTA,Bensin,LAINNYA,2015,neomotec / CG450 / 4NG10101,Lulus
2020-01-31,KRW1TG2001,TOYOTA,Bensin,LAINNYA,2016,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,KRW1FG2514,TOYOTA,Bensin,LAINNYA,2017,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,KRW1FG3001,TOYOTA,Bensin,LAINNYA,2015,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,KRW2FG2508,TOYOTA,Bensin,LAINNYA,2013,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,KRW2FG5001,TOYOTA,Bensin,LAINNYA,2013,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,KRW2FG2506,TOYOTA,Bensin,LAINNYA,2013,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,T1066DD,TOYOTA,Bensin,MPV/ MINI BUS,2010,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,T1065DD,TOYOTA,Bensin,MPV/ MINI BUS,2010,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,T1067DD,TOYOTA,Bensin,MPV/ MINI BUS,2010,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,T1061DD,TOYOTA,Bensin,LAINNYA,2010,TECHNOTEST / 488 / D5-25885,Lulus
2020-01-31,T1063DD,TOYOTA,Bensin,MPV/ MINI BUS,2010,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B1954UKK,TOYOTA,Bensin,MPV/ MINI BUS,2010,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,T1480FX,TOYOTA,Bensin,MPV/ MINI BUS,2018,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
